Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Allergy,Allergy is an immune system reaction to a substance in the environment.
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
Hepatitis A,Hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthritis,Osteoarthritis is a degenerative joint disease that affects the cartilage in joints.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(Vertigo) Paroxysmal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
COVID-19,COVID-19 is a viral respiratory illness caused by the SARS-CoV-2 virus.
Ebola,Ebola is a rare but deadly viral hemorrhagic fever caused by the Ebola virus.
Zika Virus,"Zika Virus is a mosquito-borne illness that can cause fever, rash, and birth defects in pregnant women."
Chikungunya,"Chikungunya is a viral disease spread by mosquitoes, causing fever and severe joint pain."
Lyme disease,Lyme disease is a bacterial infection transmitted through tick bites.
Rabies,"Rabies is a viral disease that causes inflammation of the brain, often transmitted through animal bites."
Hantavirus,Hantavirus is a rare respiratory disease caused by exposure to rodent urine or droppings.
Celiac disease,"Celiac disease is an immune reaction to eating gluten, a protein found in wheat, barley, and rye."
Polio,Polio is a viral disease that can affect nerves and lead to partial or full paralysis.
Measles,"Measles is a highly contagious viral infection that causes fever, cough, and a characteristic rash."
Mumps,Mumps is a viral infection that causes swelling of the salivary glands.
Rubella,"Rubella is a contagious viral infection, also known as German measles, with a distinctive rash."
Legionnaires' disease,Legionnaires' disease is a severe form of pneumonia caused by Legionella bacteria.
Shingles,"Shingles is a viral infection that causes a painful rash, often appearing as a stripe of blisters."
Ringworm,"Ringworm is a fungal infection that affects the skin, scalp, or nails, causing circular, red, and itchy patches."
Conjunctivitis,"Conjunctivitis, also known as pink eye, is inflammation of the conjunctiva of the eye."
Sinusitis,Sinusitis is an inflammation or swelling of the tissue lining the sinuses.
Tonsillitis,"Tonsillitis is inflammation of the tonsils, often caused by a viral or bacterial infection."
Sleep Apnea,Sleep apnea is a sleep disorder characterized by repeated interruptions in breathing.
Gout,"Gout is a form of arthritis caused by excess uric acid in the bloodstream, leading to painful joints."
